N, vanilla-consecutive-write, vanilla-strided-write, blocked-consecutive-write-M4, blocked-strided-writed-M4, blocked-consecutive-write-M8, blocked-strided-writed-M8, blocked-consecutive-write-M12, blocked-strided-writed-M12, blocked-consecutive-write-M16, blocked-strided-writed-M16, blocked-consecutive-write-M24, blocked-strided-writed-M24, blocked-consecutive-write-M32, blocked-strided-writed-M32
24, 69.6865, 68.4999, 70.6626, 71.9401, 70.8583, 68.8772, 70.7745, 67.4503, -1, -1, 71.3868, 68.4353, -1, -1
48, 70.2063, 64.1018, 67.4059, 67.2374, 71.0497, 65.9051, 67.4509, 64.8009, 67.2588, 66.0664, 67.4214, 62.6117, -1, -1
96, 64.0331, 54.1064, 68.7541, 56.4476, 68.4198, 60.7846, 64.8467, 59.3912, 64.3047, 58.4222, 67.7849, 56.5659, 64.2852, 52.3326
192, 18.6499, 9.07849, 60.9033, 50.3438, 63.1581, 57.0804, 56.891, 52.6773, 54.8893, 51.6804, 58.4934, 50.0639, 53.9004, 45.1732
384, 17.0442, 7.67338, 54.4383, 26.9802, 48.9055, 50.1641, 51.2513, 50.0256, 48.4867, 45.3988, 50.4801, 44.6074, 47.4998, 29.088
768, 7.39599, 4.66008, 37.2003, 17.4918, 42.8471, 30.1847, 45.0229, 39.695, 44.2494, 31.5853, 24.9217, 13.3031, 19.2273, 14.6252
1536, 3.22955, 2.50863, 16.2295, 8.20927, 10.0205, 6.07156, 10.7583, 6.60093, 9.31841, 6.67577, 11.6607, 5.83224, 7.9774, 6.22386
3072, 2.9316, 2.09876, 9.70739, 7.49521, 8.14553, 6.49636, 9.0495, 6.65336, 10.0721, 6.74502, 9.89877, 5.99221, 6.76346, 5.5633
6144, 1.81086, 2.23158, 8.02187, 7.04608, 7.63568, 6.53427, 8.76406, 6.76113, 10.0967, 6.63117, 8.90754, 5.696, 6.31572, 5.85924
12288, 0.774914, 2.10507, 5.82858, 6.0394, 6.5883, 3.96943, 8.0752, 5.98802, 7.67379, 5.66538, 1.77805, 4.71736, 1.21996, 4.79352
24576, 0.633838, 1.64697, 2.74144, 5.62848, 3.92269, 2.78893, 2.73158, 3.03409, 1.70035, 3.39873, 0.948522, 3.21222, 0.820501, 3.43917
